review_id,phone_model,overall_rating,review_text,is_synthetic
R031,Aster M1 5G,4,"I read a lot of scanned PDFs on the train. Small lettering looks sharp and I don't need to zoom in as much as on my old phone. White pages look a little too blue on the default setting, but switching to the warmer colour mode sorted that out. Very happy with the screen now.",true
R032,Aster M1 5G,2,"I sell clothes online and bought this for product pictures. It makes red fabric look orange and keeps brightening darker shades even in daylight. Sent the photos to my laptop to check, so it isn't just how the phone displays them. Having to correct every picture before uploading is a pain.",true
R033,Aster M1 5G,5,"Was about to spend nearly 40k and then bought this for ₹24,999 instead. After a month I honestly don't feel I've missed out for the things I do. Feels like a sensible purchase and I'm glad I kept the extra money.",true
R034,Aster M1 5G,2,"Nothing loose or creaky on mine, it feels properly put together. But the sides are so slippery that I keep adjusting my grip, and reaching the opposite corner with one hand is awkward. A bulky case helps the grip and makes the size even worse. Wish I'd held it in a shop first.",true
R035,Aster M1 5G,4,"I'm playing COD Mobile at medium settings for about an hour each evening. It stays responsive and I haven't noticed the stuttering some people mentioned. It gets warm, but that hasn't affected the game on my unit. These sessions use plenty of charge, as expected, so I top up before bed. Happy with the gaming experience for what I paid.",true
R036,Aster M1 5G,1,"Main camera on my unit just refuses to focus. Receipts, people, buildings, everything comes out blurred. Cleaned the lens, removed the case and reset the camera app. No difference. The front camera works, but I didn't buy a phone just to take selfies. Returning this unit.",true
R037,Aster M1 5G,3,"Screen seedha dekho toh colours achhe hain. Thoda side se dekho toh white background green sa lagta hai. Video dekhte time itna notice nahi hota, reading mein hota hai. Mere liye display bas theek thaak hai, bahut impressive nahi.",true
R038,Aster M1 5G,4,Only loses about 2% overnight on my Wi-Fi. My old phone used to drop nearly 15%. Nice to wake up without worrying about charging first.,true
R039,Aster M1 5G,5,"Camera is only okay. Bought it for the bright, colourful screen and that part is fantastic. That's what matters most to me.",true
R040,Aster M1 5G,2,"Apps open quickly and the display looks great, so the hardware side seems fine. What spoils it for me is all the preinstalled junk and promotional notifications. Spent the first evening disabling things I never asked for. I wanted a clean experience and this feels unnecessarily cluttered.",true
R041,Aster M1 5G,4,"Changed the refresh rate to the lower setting and now I finish the day without needing a top-up. Scrolling isn't quite as fluid, but I barely notice after a while. At the higher setting the screen feels lovely and smooth, though the extra charging was inconvenient for me. Nice to have the choice.",true
R042,Aster M1 5G,2,"There is a delay between pressing the shutter and actually taking the picture. Tried to photograph my daughter blowing out her candles and got the moment after she'd finished. Stationary objects look sharp, so the detail is there. It's capturing the right moment that this camera struggles with.",true
R043,Aster M1 5G,5,"Four months of daily use and it's holding up well. The charging cable still fits snugly, buttons haven't loosened and the frame has no peeling. Doesn't feel delicate at all. I was doubtful about the construction when I ordered, but I've got no complaints now.",true
R044,Aster M1 5G,3,"The design is pretty boring. Big camera circles and a plain back, just like everything else. Fine if you like that look, I was hoping for something a bit more distinctive.",true
R045,Aster M1 5G,3,"Backup toh achha mil raha hai, poora din nikal jata hai. Bas charging slow lagti hai. Subah jaldi mein lagao toh utna charge nahi hota jitna chahiye. Raat ko laga ke chhodne walon ko shayad problem na ho, mere routine mein thoda annoying hai.",true
R046,Aster M1 5G,1,Regret buying this. Not happy at all.,true
R047,Aster M1 5G,4,Went for the 8GB version with the 50 MP camera. Haven't taken any pictures yet. What I have noticed is how quickly it opens big spreadsheets compared with my old phone. Switching between the sheet and my calculator doesn't lose my place either. Good start for my work use.,true
R048,Aster M1 5G,5,"I mostly photograph handwritten notes and receipts. Even the tiny writing near the edges comes out readable, without me having to take the shot three times. That's all I really need from the camera and it does it very well.",true
R049,Aster M1 5G,2,"Paid ₹24,999 and then saw it advertised for ₹20,999 two weeks later. The phone itself is okay, but at what I paid I don't think it's good value. The lower price would have made much more sense. Feeling a bit shortchanged.",true
R050,Aster M1 5G,4,"After three months this has been a dependable daily phone. Messaging and maps are quick, and the screen stays readable on my commute. A whole day on home Wi-Fi is easy; using mobile data and navigation outdoors drains it much faster, so I carry a power bank on trips. The body still feels solid. Slightly too heavy for my liking, but overall I'm satisfied for ₹24,999.",true
